year,taxi_type,trip_count,share
2013,yellow,210000000,0.92
2013,green,12000000,0.05
2013,hvfhv,4000000,0.02
2013,other_fhv,2000000,0.01
2014,yellow,180000000,0.8
2014,green,11000000,0.05
2014,hvfhv,28000000,0.13
2014,other_fhv,4000000,0.02
2015,yellow,145000000,0.68
2015,green,9000000,0.04
2015,hvfhv,52000000,0.24
2015,other_fhv,7000000,0.03
2016,yellow,130000000,0.58
2016,green,9000000,0.04
2016,hvfhv,75000000,0.34
2016,other_fhv,8000000,0.04
2017,yellow,110000000,0.45
2017,green,8000000,0.03
2017,hvfhv,118000000,0.48
2017,other_fhv,9000000,0.04
2018,yellow,90000000,0.35
2018,green,7000000,0.03
2018,hvfhv,150000000,0.59
2018,other_fhv,8000000,0.03
2019,yellow,75000000,0.28
2019,green,6000000,0.02
2019,hvfhv,182000000,0.67
2019,other_fhv,8000000,0.03
2020,yellow,30000000,0.17
2020,green,2000000,0.01
2020,hvfhv,130000000,0.74
2020,other_fhv,14000000,0.08
2021,yellow,45000000,0.19
2021,green,3000000,0.01
2021,hvfhv,183000000,0.76
2021,other_fhv,9000000,0.04
2022,yellow,60000000,0.22
2022,green,4000000,0.01
2022,hvfhv,200000000,0.73
2022,other_fhv,10000000,0.04
2023,yellow,65000000,0.22
2023,green,5000000,0.02
2023,hvfhv,205000000,0.72
2023,other_fhv,10000000,0.04
